,Team,City,Country,Stadium,Capacity,Pitch
384,Orihuela CF,Orihuela,Spain,Municipal Los Arcos,7000,Césped natural
385,Real Avilés,Avilés,Spain,Román Suárez Puerta,5400,Césped natural
386,Barcelona B,Barcelona,Spain,Estadio Johan Cruyff,6000,Natural
387,Atlético Marbella,Marbella,Spain,,"7,300",
388,CD Badajoz,Extremadura,Spain,,"14,175",natural grass
389,Lugo,Lugo,Spain,Estadio Anxo Carro,7250,Natural
390,CD Toledo,Toledo,Spain,Municipal Salto del Caballo,5500,Césped natural
391,CD Ourense,Ourense,Spain,,5658,
392,Écija Balompié,Écija,Spain,Municipal San Pablo,4000,Natural
393,Real Jaén,Jaén,Spain,Municipal La Victoria,12569,Natural
394,Mallorca B,Palma de Mallorca,Spain,Son Bibiloni (Antonio Asensio),1500,Césped natural
395,Universidad LPGC,Gran Canarias,Spain,,3000,Artificial
396,Racing Ferrol,Ferrol,Spain,A Malata,12043,Césped natural
